epoch,accuracy,loss,precision_1,recall_1,val_accuracy,val_loss,val_precision_1,val_recall_1
0,0.8532763719558716,0.5483077168464661,0.7076923251152039,0.9663865566253662,0.9743589758872986,0.4200737476348877,0.925000011920929,1.0
1,0.9786324501037598,0.31801140308380127,0.9551020264625549,0.9831932783126831,0.9914529919624329,0.2185952216386795,0.9736841917037964,1.0
2,0.9886040091514587,0.15506520867347717,0.9752066135406494,0.9915966391563416,1.0,0.10411722958087921,1.0,1.0
3,0.994301974773407,0.07682034373283386,0.987500011920929,0.9957982897758484,1.0,0.05446438118815422,1.0,1.0
4,0.994301974773407,0.0431777648627758,0.987500011920929,0.9957982897758484,1.0,0.032560307532548904,1.0,1.0
5,0.9971510171890259,0.027013711631298065,0.9957982897758484,0.9957982897758484,1.0,0.022390248253941536,1.0,1.0
6,0.9971510171890259,0.018938062712550163,0.9957982897758484,0.9957982897758484,1.0,0.01652013510465622,1.0,1.0
7,0.9971510171890259,0.013916799798607826,0.9957982897758484,0.9957982897758484,1.0,0.012653347104787827,1.0,1.0
8,0.9985755085945129,0.010607411153614521,0.9958158731460571,1.0,1.0,0.010064356960356236,1.0,1.0
9,0.9985755085945129,0.008174560964107513,0.9958158731460571,1.0,1.0,0.008194058202207088,1.0,1.0
10,0.9985755085945129,0.006428371649235487,0.9958158731460571,1.0,1.0,0.007000353652983904,1.0,1.0
11,0.9985755085945129,0.005185277666896582,0.9958158731460571,1.0,1.0,0.005934101063758135,1.0,1.0
12,1.0,0.00417517451569438,1.0,1.0,1.0,0.005145014729350805,1.0,1.0
13,1.0,0.003398842876777053,1.0,1.0,1.0,0.004530739039182663,1.0,1.0
14,1.0,0.0028168486896902323,1.0,1.0,1.0,0.004043092019855976,1.0,1.0
15,1.0,0.0023330755066126585,1.0,1.0,1.0,0.003629917511716485,1.0,1.0
16,1.0,0.001991258468478918,1.0,1.0,1.0,0.003260841127485037,1.0,1.0
17,1.0,0.0017023453256115317,1.0,1.0,1.0,0.0029949205927550793,1.0,1.0
18,1.0,0.0014807296684011817,1.0,1.0,1.0,0.0027279879432171583,1.0,1.0
19,1.0,0.0013033353025093675,1.0,1.0,1.0,0.0025056926533579826,1.0,1.0
20,1.0,0.0011458814842626452,1.0,1.0,1.0,0.002337298123165965,1.0,1.0
21,1.0,0.0010247697355225682,1.0,1.0,1.0,0.0021802454721182585,1.0,1.0
22,1.0,0.0009232148295268416,1.0,1.0,1.0,0.002034437609836459,1.0,1.0
23,1.0,0.000831767451018095,1.0,1.0,1.0,0.001923032570630312,1.0,1.0
24,1.0,0.0007534758187830448,1.0,1.0,1.0,0.001809273031540215,1.0,1.0
25,1.0,0.0006878420826978981,1.0,1.0,1.0,0.0017104543512687087,1.0,1.0
26,1.0,0.0006293458864092827,1.0,1.0,1.0,0.0016253965441137552,1.0,1.0
27,1.0,0.0005766791291534901,1.0,1.0,1.0,0.0015453301602974534,1.0,1.0
28,1.0,0.0005308108520694077,1.0,1.0,1.0,0.0014740604674443603,1.0,1.0
29,1.0,0.0004901707288809121,1.0,1.0,1.0,0.0014136042445898056,1.0,1.0
30,1.0,0.0004556442145258188,1.0,1.0,1.0,0.0013490116689354181,1.0,1.0
31,1.0,0.0004221587732899934,1.0,1.0,1.0,0.0012955565471202135,1.0,1.0
32,1.0,0.00039248893153853714,1.0,1.0,1.0,0.0012502750614657998,1.0,1.0
33,1.0,0.0003664477844722569,1.0,1.0,1.0,0.0011980751296505332,1.0,1.0
34,1.0,0.0003410984354559332,1.0,1.0,1.0,0.0011588349007070065,1.0,1.0
35,1.0,0.0003199029597453773,1.0,1.0,1.0,0.001118119922466576,1.0,1.0
36,1.0,0.00029973560594953597,1.0,1.0,1.0,0.0010826021898537874,1.0,1.0
37,1.0,0.00028097504400648177,1.0,1.0,1.0,0.0010493784211575985,1.0,1.0
38,1.0,0.0002643870247993618,1.0,1.0,1.0,0.001014883629977703,1.0,1.0
39,1.0,0.00024960882728919387,1.0,1.0,1.0,0.0009819954866543412,1.0,1.0
40,1.0,0.00023450997832696885,1.0,1.0,1.0,0.0009551107650622725,1.0,1.0
41,1.0,0.00022144500690046698,1.0,1.0,1.0,0.0009307241998612881,1.0,1.0
42,1.0,0.00021004995505791157,1.0,1.0,1.0,0.000901167222764343,1.0,1.0
43,1.0,0.000198399240616709,1.0,1.0,1.0,0.0008781582000665367,1.0,1.0
44,1.0,0.000188252713996917,1.0,1.0,1.0,0.0008557839319109917,1.0,1.0
45,1.0,0.00017853788449428976,1.0,1.0,1.0,0.0008358070044778287,1.0,1.0
46,1.0,0.00016967173723969609,1.0,1.0,1.0,0.0008179863216355443,1.0,1.0
47,1.0,0.0001618397218408063,1.0,1.0,1.0,0.0007965806289575994,1.0,1.0
48,1.0,0.00015454039385076612,1.0,1.0,1.0,0.0007761052111163735,1.0,1.0
49,1.0,0.00014655884297098964,1.0,1.0,1.0,0.0007604399579577148,1.0,1.0
50,1.0,0.00013991986634209752,1.0,1.0,1.0,0.0007443347130902112,1.0,1.0
51,1.0,0.00013363755715545267,1.0,1.0,1.0,0.0007280735881067812,1.0,1.0
52,1.0,0.00012792005145456642,1.0,1.0,1.0,0.0007120036170817912,1.0,1.0
53,1.0,0.00012223684461787343,1.0,1.0,1.0,0.0007006163941696286,1.0,1.0
54,1.0,0.00011733573046512902,1.0,1.0,1.0,0.0006842617876827717,1.0,1.0
55,1.0,0.0001122390094678849,1.0,1.0,1.0,0.0006718447548337281,1.0,1.0
56,1.0,0.00010747888882178813,1.0,1.0,1.0,0.0006603820947930217,1.0,1.0
57,1.0,0.00010346124327043071,1.0,1.0,1.0,0.0006468806532211602,1.0,1.0
58,1.0,9.917097486322746e-05,1.0,1.0,1.0,0.0006348215974867344,1.0,1.0
59,1.0,9.540838073007762e-05,1.0,1.0,1.0,0.0006262797978706658,1.0,1.0
60,1.0,9.18148725759238e-05,1.0,1.0,1.0,0.0006138156750239432,1.0,1.0
61,1.0,8.821894152788445e-05,1.0,1.0,1.0,0.0006042560562491417,1.0,1.0
62,1.0,8.516921661794186e-05,1.0,1.0,1.0,0.0005930117331445217,1.0,1.0
63,1.0,8.190812513930723e-05,1.0,1.0,1.0,0.0005837638163939118,1.0,1.0
64,1.0,7.899010233813897e-05,1.0,1.0,1.0,0.0005747382529079914,1.0,1.0
65,1.0,7.624235877301544e-05,1.0,1.0,1.0,0.0005652174586430192,1.0,1.0
66,1.0,7.354974513873458e-05,1.0,1.0,1.0,0.0005572735099121928,1.0,1.0
67,1.0,7.1022666816134e-05,1.0,1.0,1.0,0.0005501217674463987,1.0,1.0
68,1.0,6.878964632051066e-05,1.0,1.0,1.0,0.0005400516674853861,1.0,1.0
69,1.0,6.638782360823825e-05,1.0,1.0,1.0,0.0005330307758413255,1.0,1.0
70,1.0,6.417438999051228e-05,1.0,1.0,1.0,0.0005257998127490282,1.0,1.0
71,1.0,6.218912312760949e-05,1.0,1.0,1.0,0.0005172007367946208,1.0,1.0
72,1.0,6.0151687648613006e-05,1.0,1.0,1.0,0.0005103691946715117,1.0,1.0
73,1.0,5.825345215271227e-05,1.0,1.0,1.0,0.0005034031346440315,1.0,1.0
74,1.0,5.6422391935484484e-05,1.0,1.0,1.0,0.0004974441835656762,1.0,1.0
